type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Natural fire,4,131.5866,47.8662,-9.44,0.01,72.98,1.14,4.59
Natural fire,4,131.5885,47.8809,-9.44,0.01,72.98,1.14,4.59
Forest fire,3,131.9871,48.4973,-10.71,0.05,81.31,0.8,4.24
Natural fire,4,131.9031,43.6277,-7.77,0.0,68.41,0.97,4.66
Natural fire,4,131.5706,47.8581,-9.44,0.01,72.98,1.14,4.59
Natural fire,4,131.5798,52.1321,-14.91,1.9,97.41,1.06,4.3
Natural fire,4,20.4452,54.8597,1.51,0.49,93.98,4.05,2.53
Natural fire,4,125.8202,55.209,-23.0,0.06,96.21,2.31,4.37
Natural fire,4,38.2039,45.5618,7.35,0.0,73.51,6.64,5.19
Controlled burn,5,39.0129,44.9598,5.84,0.0,75.6,6.03,5.21
Natural fire,4,47.5648,43.6893,8.05,0.0,58.6,2.84,4.81
Natural fire,4,132.262,44.0062,-7.15,0.0,48.95,3.76,5.62
Forest fire,3,93.2201,56.5377,15.14,0.0,62.34,0.51,7.34
Forest fire,3,93.0662,56.9302,15.04,0.0,62.25,0.31,7.34
Forest fire,3,92.9894,56.9679,15.04,0.0,62.25,0.31,7.34
Forest fire,3,93.1233,57.1163,15.04,0.0,62.25,0.31,6.79
Forest fire,3,93.222,57.0587,15.04,0.0,62.25,0.31,6.79
Forest fire,3,91.054,57.1111,15.09,0.0,63.98,0.54,7.12
Forest fire,3,90.6519,56.9339,15.35,0.0,63.82,1.16,7.43
Forest fire,3,89.5735,56.5652,15.6,0.0,63.33,1.78,7.43
Forest fire,3,90.584,57.3357,15.7,0.0,64.01,0.17,7.12
Forest fire,3,90.297,57.3433,15.86,0.0,64.58,0.16,7.12
Forest fire,3,84.3895,56.5238,16.95,0.02,66.7,1.39,7.2
Forest fire,3,85.4911,55.6749,15.49,0.0,65.17,2.39,7.24
Forest fire,3,85.5098,55.6369,15.49,0.0,65.17,2.39,7.24
Forest fire,3,85.2518,55.493,15.92,0.0,65.75,2.88,7.24
Forest fire,3,85.7535,55.5822,15.49,0.0,65.17,2.39,7.24
Forest fire,3,85.1266,55.2007,16.29,0.0,60.71,2.48,7.24
Forest fire,3,86.2545,55.4053,14.94,0.0,66.52,1.5,7.35
Forest fire,3,86.286,55.0941,15.46,0.0,63.85,1.93,7.35
Forest fire,3,84.424,53.9896,17.59,0.0,54.98,2.02,7.41
Forest fire,3,84.5431,53.9432,17.59,0.0,54.98,2.02,7.41
Forest fire,3,86.8215,54.5582,15.47,0.0,64.09,1.81,7.4
